color,center,shape
red,[56 19],circle
green,[28  7],rectangle
blue,[ 6 34],rectangle
orange,[68 64],rectangle
gray,[53 63],rectangle
yellow,[68  7],circle
red,[66 44],circle
green,[57 28],rectangle
blue,[33 19],rectangle
orange,[13  5],rectangle
gray,[67 15],rectangle
yellow,[12 39],circle
red,[ 8 27],circle
green,[19 47],rectangle
blue,[63 32],circle
orange,[49 66],circle
gray,[34 66],circle
yellow,[66  5],rectangle
red,[23  6],circle
green,[36 36],circle
blue,[59 60],rectangle
orange,[15 20],circle
gray,[63  7],circle
yellow,[63 40],rectangle
red,[28 58],circle
green,[28 40],circle
blue,[29 22],rectangle
orange,[58 39],circle
gray,[11 21],rectangle
yellow,[52 63],rectangle
red,[36 37],rectangle
green,[22 29],rectangle
blue,[58 62],circle
orange,[50 28],rectangle
gray,[31  6],rectangle
yellow,[30 54],circle
red,[51 59],rectangle
green,[20 17],circle
blue,[34 23],circle
orange,[67 23],rectangle
gray,[62  5],rectangle
yellow,[20 65],circle
red,[ 8 20],rectangle
green,[ 6 36],circle
blue,[28 16],rectangle
orange,[37 37],circle
gray,[47 16],rectangle
yellow,[16 50],rectangle
red,[28 27],circle
green,[41 16],rectangle
blue,[66 17],circle
orange,[13 32],circle
gray,[56 57],circle
yellow,[62 43],circle
red,[23 65],rectangle
green,[43 23],rectangle
blue,[62 24],rectangle
orange,[65 43],circle
gray,[66 67],rectangle
yellow,[37 42],rectangle
red,[45 68],rectangle
green,[67 21],rectangle
blue,[33 17],circle
orange,[10 51],circle
gray,[15 30],rectangle
yellow,[53 37],rectangle
red,[69 58],circle
green,[61 21],rectangle
blue,[18 55],circle
orange,[68 42],circle
gray,[34 55],circle
yellow,[ 9 33],rectangle
red,[65 26],rectangle
green,[5 9],rectangle
blue,[50 38],rectangle
orange,[30 51],circle
gray,[60 67],rectangle
yellow,[32  6],circle
red,[12 44],rectangle
green,[46 45],rectangle
blue,[56 30],circle
orange,[63 60],rectangle
gray,[37 57],rectangle
yellow,[ 8 66],rectangle
red,[15  7],rectangle
green,[54 14],circle
blue,[14 48],rectangle
orange,[69 67],circle
gray,[19 28],circle
yellow,[39 53],circle
red,[42 27],rectangle
green,[57 55],circle
blue,[10 11],circle
orange,[46 68],rectangle
gray,[31 40],circle
yellow,[61 31],circle
red,[17 66],rectangle
green,[64 47],circle
blue,[ 9 41],circle
orange,[35 13],rectangle
gray,[33 44],circle
yellow,[15 27],rectangle
red,[28 29],rectangle
green,[37 53],circle
blue,[53 24],rectangle
orange,[67 65],rectangle
gray,[ 5 17],rectangle
yellow,[66 36],rectangle
red,[63 58],rectangle
green,[55 12],rectangle
blue,[36 50],circle
orange,[18 59],circle
gray,[11 11],circle
yellow,[23 23],circle
red,[26  8],rectangle
green,[33 41],rectangle
blue,[38 21],rectangle
orange,[31 61],rectangle
gray,[57 14],circle
yellow,[50 68],rectangle
red,[44 21],rectangle
green,[65 47],circle
blue,[29 43],rectangle
orange,[48 55],rectangle
gray,[16 23],rectangle
yellow,[65 21],circle
red,[63 21],circle
green,[28 64],rectangle
blue,[ 7 41],circle
orange,[59 43],rectangle
gray,[38 34],rectangle
yellow,[17 17],rectangle
red,[41 65],rectangle
green,[67 50],circle
blue,[66 29],circle
orange,[ 8 63],rectangle
gray,[ 7 10],circle
yellow,[53 13],circle
red,[15 63],rectangle
green,[42  9],rectangle
blue,[22 41],rectangle
orange,[49 66],circle
gray,[44 44],circle
yellow,[67 31],circle
red,[26 24],circle
green,[68 21],circle
blue,[68 51],circle
orange,[40 56],circle
gray,[11 33],rectangle
yellow,[55 62],rectangle
red,[42 19],circle
green,[39 68],circle
blue,[22 19],rectangle
orange,[57 12],circle
gray,[50 54],circle
yellow,[ 7 68],rectangle
red,[50 36],rectangle
green,[37 44],rectangle
blue,[ 6 37],circle
orange,[30 26],rectangle
gray,[19 48],rectangle
yellow,[65 10],circle
red,[12 57],circle
green,[55 48],circle
blue,[22 26],rectangle
orange,[60 63],circle
gray,[39 65],rectangle
yellow,[67 11],rectangle
red,[30 12],rectangle
green,[46 48],rectangle
blue,[ 6 41],circle
orange,[45 66],rectangle
gray,[21 32],rectangle
yellow,[ 9 69],circle
red,[ 6 41],circle
green,[33  5],rectangle
blue,[63 37],circle
orange,[16 24],circle
gray,[47 54],circle
yellow,[27 48],circle
red,[68 67],circle
green,[45 52],circle
blue,[35  8],circle
orange,[17 27],rectangle
gray,[ 5 58],circle
yellow,[19 69],rectangle
red,[47 25],rectangle
green,[29 40],circle
blue,[19 25],rectangle
orange,[39 12],rectangle
gray,[22  6],rectangle
yellow,[35 67],rectangle
red,[40 59],circle
green,[37 25],rectangle
blue,[52 41],circle
orange,[14 61],rectangle
gray,[22 46],rectangle
yellow,[40  7],rectangle
red,[66 34],rectangle
green,[20 16],rectangle
blue,[34 27],rectangle
orange,[ 9 69],circle
gray,[20 42],rectangle
yellow,[69 56],rectangle
red,[29 58],rectangle
green,[18 69],circle
blue,[58 56],circle
orange,[45 10],rectangle
gray,[12 25],rectangle
yellow,[64 16],circle
red,[56 56],circle
green,[67 67],rectangle
blue,[11 31],rectangle
orange,[18  9],rectangle
gray,[ 6 66],rectangle
yellow,[49 36],rectangle
red,[64 25],circle
green,[38 12],circle
blue,[64 49],rectangle
orange,[36 48],circle
gray,[12 47],circle
yellow,[ 9 24],circle
red,[ 6 17],circle
green,[20 36],circle
blue,[44 22],rectangle
orange,[29 63],circle
gray,[55 50],rectangle
yellow,[25 17],rectangle
red,[20  5],circle
